year,areakm,municipality,geocode_ibge,state
2017,8.543624467192188,Paranatinga,5106307,Mato Grosso
2018,30.788388199894978,Paranatinga,5106307,Mato Grosso
2019,16.668673559986193,Paranatinga,5106307,Mato Grosso
2020,65.8571417925274,Paranatinga,5106307,Mato Grosso
2021,28.57518978486285,Paranatinga,5106307,Mato Grosso
2022,89.42580343921271,Paranatinga,5106307,Mato Grosso
2023,36.78743059423369,Paranatinga,5106307,Mato Grosso
2024,58.20910737711486,Paranatinga,5106307,Mato Grosso
2007,2169.306347849241,Paranaíta,5106299,Mato Grosso
2008,41.24360919831784,Paranaíta,5106299,Mato Grosso
2009,7.746680479070057,Paranaíta,5106299,Mato Grosso
2010,9.750190671202516,Paranaíta,5106299,Mato Grosso
2011,16.102748320379735,Paranaíta,5106299,Mato Grosso
2012,6.1156020624928775,Paranaíta,5106299,Mato Grosso
2013,12.988520424929687,Paranaíta,5106299,Mato Grosso
2014,39.48213922763094,Paranaíta,5106299,Mato Grosso
2015,23.439620433278698,Paranaíta,5106299,Mato Grosso
2016,50.523469080926716,Paranaíta,5106299,Mato Grosso
2017,40.99436890896311,Paranaíta,5106299,Mato Grosso
2018,41.65030161101876,Paranaíta,5106299,Mato Grosso
2019,54.960905407238265,Paranaíta,5106299,Mato Grosso
2020,23.081548622657333,Paranaíta,5106299,Mato Grosso
2021,20.12496300416902,Paranaíta,5106299,Mato Grosso
2022,30.91866730358537,Paranaíta,5106299,Mato Grosso
2023,49.78816904137632,Paranaíta,5106299,Mato Grosso
2024,7.442795351383016,Paranaíta,5106299,Mato Grosso
2007,19.974237726594843,Pedra Preta,5106372,Mato Grosso
2008,0,Pedra Preta,5106372,Mato Grosso
2009,0.15197231341089568,Pedra Preta,5106372,Mato Grosso
2010,0.11564612204040009,Pedra Preta,5106372,Mato Grosso
2011,0,Pedra Preta,5106372,Mato Grosso
2012,0,Pedra Preta,5106372,Mato Grosso
2013,0,Pedra Preta,5106372,Mato Grosso
2014,0,Pedra Preta,5106372,Mato Grosso
2015,0,Pedra Preta,5106372,Mato Grosso
2016,0,Pedra Preta,5106372,Mato Grosso
2017,0,Pedra Preta,5106372,Mato Grosso
2018,0,Pedra Preta,5106372,Mato Grosso
2019,0,Pedra Preta,5106372,Mato Grosso
2020,0,Pedra Preta,5106372,Mato Grosso
2021,0,Pedra Preta,5106372,Mato Grosso
2022,0,Pedra Preta,5106372,Mato Grosso
2023,0,Pedra Preta,5106372,Mato Grosso
2024,0,Pedra Preta,5106372,Mato Grosso
